pType;pId;year;subject
PLP;25;2007;DTQ 13: PSDB - ART. 9º DA EMENDA AGLUTINATIVA SUBST. GLOBAL DE PLENÁRIO
PLP;25;2007;EMENDA AGLUTINATIVA Nº 1
PLP;25;2007;EMENDA DE PLENÁRIO Nº 10
PLP;106;2011;EMENDA SUBSTITUTIVA GLOBAL Nº 2
PLP;177;2012;SUBSTITUTIVO DA CFT
PLP;278;2013;PROJETO DE LEI COMPLEMENTAR
PLP;302;2013;EMENDA DE PLENÁRIO Nº 38
PLP;302;2013;DVS - PSB - § 8º DO ART. 2º
PLP;302;2013;DVS PMDB - EMENDA Nº 18
PLP;302;2013;"DVS PSOL - EXP. ""NO VALOR DE 1 (UM) SAL. MÍNIMO)..."
PLP;302;2013;DVS - PSDB - INCISO II DO ART. 34
PLP;302;2013;DVS - PSDB - EMENDA Nº 25
PLP;302;2013;REQ. DE PREFERÊNCIA P/ VOTAÇÃO DA EMENDA SUBST. DE PLENÁRIO
PLP;302;2013;DVS - DEM - ART 32 DA EMENDA SUBSTITUTIVA GLOBAL Nº 38
PLP;366;2013;DTQ 5: PT - ART. 4º DO SUBSTITUTIVO
PLP;366;2013;SUBEMENDA SUBSTITUTIVA OFERECIDA PELO RELATOR DA CDEIC
PLP;366;2013;DTQ 7: DEM - SUBITEM 25.05 DO ART. 3º DO SUBSTITUTIVO
PLP;366;2013;DTQ 9: PT - INC. II DO § 2º DO ART. 7º DA LEI COMPLEMENTAR Nº 116/2003
PLP;366;2013;EMENDA AGLUTINATIVA Nº 4
PLP;13;2015;PROJETO DE LEI COMPLEMENTAR
PLP;25;2015;SUBEMENDA SUBST. OFERECIDA PELO RELATOR AO PLP Nº 25/2015
PLP;37;2015;PROJETO DE LEI COMPLEMENTAR
PLP;37;2015;EMENDAS DO SENADO FEDERAL
PLP;124;2015;PROJETO DE LEI COMPLEMENTAR
PLP;124;2015;EMENDAS DE PLENÁRIO DE NºS 3 E 5 COM PARECER FAVORÁVEL
MPV;660;2014;DVS - PT - ART. 4º  DA LEI Nº 12.800/2013, CONST. DO ART. 1º  DO PLV
