TSE;Camara;DIAP
Sérgio Reis;Sergio Reis;-
Sergio Souza;Sergio Souza;-
Sergio Vidigal;Sergio Vidigal;-
Sergio Zveiter;Sergio Zveiter;-
Shéridan;Shéridan;-
Sibá Machado;Sibá Machado;debatedor
Silas Brasileiro;Silas Brasileiro;-
Silas Câmara;Silas Camara;-
Silas Freire;Silas Freire;-
Silvio Costa;Silvio Costa;debatedor
Silvio Torres;Silvio Torres;-
Simone Morgado;Simone Morgado;-
Soraya Santos;Soraya Santos;-
Sóstenes Cavalcante;Sóstenes Cavalcante;-
Subtenente Gonzaga;Sub-tenente Gonzaga;-
Tadeu Alencar;Tadeu Alencar;formulador
Takayama;Takayama;-
Tenente Lúcio;Tenente Lúcio;-
Tereza Cristina;Tereza Cristina;-
Tia Eron;Tia Eron;-
Tiririca;Tiririca;-
Toninho Pinheiro;Toninho Pinheiro;-
Toninho Wandscheer;Toninho Wandscheer;-
# VotingName;TSEName;
Uldurico Junior;Uldurico Junior;-
Valadares Filho;Valadares Filho;-
Valdir Colatto;Valdir Colatto;-
Valmir Assunção;Valmir Assunção;-
Valmir Prascidelli;Valmir Prascidelli;-
Valtenir Pereira;Valtenir Pereira;-
Vander Loubet;Vander Loubet;-
Veneziano Vital do Rêgo;Veneziano;-
Vicente Arruda;Vicente Arruda;-
Vicente Candido;Vicente Cândido;articulador
Vicentinho;Vicentinho;articulador
Vicentinho Júnior;Vicentinho Junior;-
Victor Mendes;Victor Mendes;-
Vinicius Carvalho;Vinicius Carvalho;-
Vinicius Gurgel;Vinícius Gurgel;-
Vitor Lippi;Vitor Lippi;-
Vitor Valim;Vitor Valim;-
Wadih Damous;Wadih Damous;-
Wadson Ribeiro;Wadson Ribeiro;-
Waldir Maranhão;Waldir Maranhão;-
Walney Rocha;Walney Rocha;-
Walter Alves;Walter Alves;-
Walter Ihoshi;Walter Ihoshi;-
Washington Reis;Washington Reis;-
Weliton Prado;Weliton Prado;-
Wellington Roberto;Wellington Roberto;-
Weverton Rocha;Weverton Rocha;-
Wilson Filho;Wilson Filho;-
Wladimir Costa;Wlad;-
Wolney Queiroz;Wolney Queiroz;-
Carlos Zarattini;Zarattini;formulador
Zé Carlos;Zé Carlos;-
Zé Silva;Zé Silva;-
Zeca Cavalcanti;Zeca Cavalcanti;-
Zeca Dirceu;Zeca Dirceu;-
Zeca do Pt;Zeca Do Pt;-
